OID_,CID,name,POINT_X,POINT_Y
5,86,hrn3077,-68.47075498,44.100526557000080
6,86,hrn2914,-68.47313019,44.102641282000036
7,86,hrn3215,-68.47299464,44.102692113000046
8,86,hrn2772,-68.47282886,44.102761279000049
9,86,hrn3322,-68.47102922,44.101439429000038
10,86,hrn2911,-68.4716956,44.099151881000068
11,86,hrn2970,-68.47220235,44.099041208000074
12,86,hrn2694,-68.47459392,44.099188367000068
13,86,hrn2749,-68.47517391,44.099172589000034
14,86,hrn3342,-68.47582204,44.099486816000081
15,86,hrn2967,-68.47518244,44.099652029000026
16,86,hrn3044,-68.47318821,44.100688164000076
17,86,hrn2752,-68.47335886,44.101864994000039
18,86,hrn3209,-68.47377872,44.102247656000031
19,86,hrn2999,-68.47156823,44.100591515000076
20,86,hrn3058,-68.47104787,44.101107201000048
21,86,hrn2936,-68.47157844,44.099197526000069
22,86,hrn3114,-68.47148884,44.099368430000027
23,29,shab653,-68.55880298,44.167046955000046
24,29,shab640,-68.55872667,44.166898236000065
25,29,shab649,-68.55842974,44.166846045000057
26,29,shab649,-68.55842974,44.166846045000057
27,29,shab649,-68.55842974,44.166846045000057
28,29,shab621,-68.55845639,44.166481944000054
29,29,shab633,-68.55797505,44.166781530000037
30,29,shab617,-68.55901289,44.166605082000046
31,29,shab630,-68.55881993,44.166777864000039
32,29,shab616,-68.55920605,44.166495976000078
33,29,shab638,-68.5587909,44.166450846000032
34,29,shab635,-68.55831868,44.166842067000061
35,29,shab614,-68.55794849,44.166394925000077
36,29,shab611,-68.55872398,44.166607260000035
37,29,shab644,-68.55904147,44.166988996000043
38,29,shab629,-68.55866012,44.166446238000049
39,68,gdi168,-68.24871017,44.143949362862543
40,68,gdi942,-68.2484475,44.144156538298660
41,68,gdi624,-68.24834108,44.143162065311344
42,68,gdi314,-68.24878484,44.143456674032393
43,68,gdi340,-68.24934544,44.143647755031225
44,68,gdi541,-68.24894939,44.143742277996353
45,68,gdi67,-68.24755615,44.142739730756773
46,68,gdi50,-68.24795209,44.142824360482962
47,68,gdi829,-68.24819787,44.142640656260085
48,68,gdi106,-68.2483067,44.143046123035788
49,68,gdi129,-68.2444629,44.143191578581934
50,68,gdi408,-68.24474045,44.143301534636635
