location,collected by,date,gps,cover,height,common,spp_code,spp,notes
heron,finn,5/27/2023,hrn3114,1,1,NA,NA,NA,trans 4 -> HERG nest ~3m out of range
heron,finn,5/27/2023,hrn2936,1,1,NA,NA,NA,"1) HERG nest w/ 3 eggs just out of range, 2) HERG w/ 2 1m off, 1 w/in radius (don't want to double count)"
heron,finn,5/27/2023,hrn3058,100,2,valerian,val off,Valeriana officionalis,
heron,finn,5/27/2023,hrn3058,100,2,dandelion,tar off,Taraxacum officionale,(drawing on datasheet of leaf margin)
heron,finn,5/27/2023,hrn3058,100,2,stinging nettle,urt dio,Urtica dioica,
heron,finn,5/27/2023,hrn3058,100,2,strawberry,fra vir,Fragaria virginiana,
heron,finn,5/27/2023,hrn3058,100,2,unknown,cer arv,Cerastium arvense,
heron,finn,5/27/2023,hrn3058,100,2,corn speedwell,ver arv,Veronica arvensis,
heron,finn,5/27/2023,hrn3058,100,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn3058,100,2,bittersweet nightshade,sol dul,Solanum dulcamara,
heron,finn,5/27/2023,hrn3058,100,2,unknown,cir vul,Cirsium vulgare,
heron,finn,5/27/2023,hrn3058,100,2,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn3077,100,2,unknown,cir vul,Cirsium vulgare,
heron,finn,5/27/2023,hrn3077,100,2,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn3077,100,2,roughstalk bluegrass,poa tri,Poa trivialis,
heron,finn,5/27/2023,hrn3077,100,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn3077,100,2,stinging nettle,urt dio,Urtica dioica,
heron,finn,5/27/2023,hrn3077,100,2,white clover,tri rep,Trifolium repens,
heron,finn,5/27/2023,hrn3077,100,2,dandelion,tar off,Taraxacum officionale,
heron,finn,5/27/2023,hrn3077,100,2,unknown,cer arv,Cerastium arvense,
heron,finn,5/27/2023,hrn2914,100,3,buttercup,ran acr,Ranunculus acris,
heron,finn,5/27/2023,hrn2914,100,3,dandelion,tar off,Taraxacum officionale,(drawing on datasheet of leaf margin)
heron,finn,5/27/2023,hrn2914,100,3,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2914,100,3,unknown,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn2914,100,3,marsh vetch,lat pal,Lathyrus palustris,(lat pal marsh vetch)
heron,finn,5/27/2023,hrn2914,100,3,unknown,rub ida,Rubus idaeus,
heron,finn,5/27/2023,hrn2914,100,3,meadow foxtail,ale pra,Alepecurus pratensis,edge of colony
heron,finn,5/27/2023,hrn3215,100,3,unknown,rub ida,Rubus idaeus,
heron,finn,5/27/2023,hrn3215,100,3,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn3215,100,3,stinging nettle,urt dio,Urtica dioica,
heron,finn,5/27/2023,hrn3215,100,3,roughstalk bluegrass,poa tri,Poa trivialis,
heron,finn,5/27/2023,hrn3215,100,3,unknown,sol sem,Solidago sempervirens,
heron,finn,5/27/2023,hrn3215,100,3,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn3215,100,3,unknown,gal syl,Galium sylvaticum,
heron,finn,5/27/2023,hrn2772,25,2,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn2772,25,2,broadleaf plantain,pla maj,Plantago major,
heron,finn,5/27/2023,hrn2772,25,2,unknown,fra vir,Fragaria virginiana,
heron,finn,5/27/2023,hrn2772,25,2,unknown,unk,Poa spp (tufting),
heron,finn,5/27/2023,hrn2772,25,2,beach vetchling,lat jap,Lathyrus japonicus,
heron,finn,5/27/2023,hrn3322,75,2,unknown,fra vir,Fragaria virginiana,(on edge of height class 3)
heron,finn,5/27/2023,hrn3322,75,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn3322,75,2,unknown,sol sem,Solidago sempervirens,
heron,finn,5/27/2023,hrn3322,75,2,unknown,cer arv,Cerastium arvense,
heron,finn,5/27/2023,hrn3322,75,2,northern blue flag,iri ver,Iris versicolor,
heron,finn,5/27/2023,hrn3322,75,2,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn3322,75,2,unknown,scu gal,Scutellaria galericulata,
heron,finn,5/27/2023,hrn2911,1,1,NA,NA,NA,lots of Solanum dulcamara on this section just outside plot
heron,finn,5/27/2023,hrn2970,100,3,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn2970,100,3,stinging nettle,urt dio,Urtica dioica,
heron,finn,5/27/2023,hrn2970,100,3,bittersweet nightshade,sol dul,Solanum dulcamara,
heron,finn,5/27/2023,hrn2694,100,3,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn2694,100,3,unknown,sol sem,Solidago sempervirens,
heron,finn,5/27/2023,hrn2694,100,3,unknown,scu gal,Scutellaria galericulata,
heron,finn,5/27/2023,hrn2694,100,3,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2694,100,3,strawberry,fra vir,Fragaria virginiana,
heron,finn,5/27/2023,hrn2694,100,3,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn2694,100,3,buttercup,ran acr,Ranunculus acris,
heron,finn,5/27/2023,hrn2694,100,3,valerian,val off,Valeriana officionalis,
heron,finn,5/27/2023,hrn2749,50,2,silverweed,pot ans,Potentilla anserina,
heron,finn,5/27/2023,hrn2749,50,2,beach vetchling,lat jap,Lathyrus japonicus,
heron,finn,5/27/2023,hrn2749,50,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2749,50,2,unknown,sol sem,Solidago sempervirens,
heron,finn,5/27/2023,hrn2749,50,2,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn2749,50,2,valerian,val off,Valeriana officionalis,
heron,finn,5/27/2023,hrn2749,50,2,couch grass,ely rep,Elymus repens,(Elymus?)
heron,finn,5/27/2023,hrn3342,1,1,NA,NA,NA,berm
heron,finn,5/27/2023,hrn2967,100,3,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn2967,100,3,strawberry,fra vir,Fragaria virginiana,
heron,finn,5/27/2023,hrn2967,100,3,yarrow,ach mil,Achillea millefolium,
heron,finn,5/27/2023,hrn2967,100,3,unknown,cer arv,Cerastium arvense,
heron,finn,5/27/2023,hrn2967,100,3,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2967,100,3,hedge bindweed,cal sep,Calystegia sepium,
heron,finn,5/27/2023,hrn2967,100,3,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3044,100,1,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn3044,100,1,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3044,100,1,unknown,rub ida,Rubus idaeus,
heron,finn,5/27/2023,hrn3044,100,1,canada mayflower,mai can,Maianthemum canadense,
heron,finn,5/27/2023,hrn3044,100,1,sea-beach sedge,Cx sili,Carex silicea,
heron,finn,5/27/2023,hrn2752,100,2,buttercup,ran acr,Ranunculus acris,
heron,finn,5/27/2023,hrn2752,100,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2752,100,2,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn2752,100,2,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3209,100,3,meadow foxtail,ale pra,Alepecurus pratensis,
heron,finn,5/27/2023,hrn3209,100,3,unknown,cir vul,Cirsium vulgare,
heron,finn,5/27/2023,hrn3209,100,3,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn3209,100,3,dandelion,tar off,Taraxacum officionale,
heron,finn,5/27/2023,hrn3209,100,3,unknown,lat pal,Lathyrus palustris,
heron,finn,5/27/2023,hrn2999,100,2,unknown,sol pub,Solidago puberula,
heron,finn,5/27/2023,hrn2999,100,2,unknown,cir vul,Cirsium vulgare,
heron,finn,5/27/2023,hrn2999,100,2,unknown,gal syl,Galium sylvaticum,
shabby,finn + taylor,5/31/2023,shab653,100,3,kentucky bluegrass,poa pra,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab653,100,3,seabeach dock,rum pal,Rumex pallidus,
shabby,finn + taylor,5/31/2023,shab653,100,3,burdock,arctium,Arctium sp.,
shabby,finn + taylor,5/31/2023,shab653,100,3,raspberry,rub ida,Rubus idaeus,
shabby,finn + taylor,5/31/2023,shab653,100,3,downy goldenrod,sol pub,Solidago puberula,
shabby,finn + taylor,5/31/2023,shab640,50,4,stinging nettle,urt dio,Urtica dioica,
shabby,finn + taylor,5/31/2023,shab640,50,4,raspberry,rub ida,Rubus idaeus,
shabby,finn + taylor,5/31/2023,shab640,50,4,burdock,arctium,Arctium sp.,
shabby,finn + taylor,5/31/2023,shab647,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab621,75,2,stinging nettle,urt dio,Urtica dioica,
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Cirsium sp.,
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Poa pratensis,(calam. C.f. #8)
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,young yarrow? #56,
shabby,finn + taylor,5/31/2023,shab621,75,2,american wild mint,men can,Mentha canadensis,
shabby,finn + taylor,5/31/2023,shab615,100,4,,sol sem,Solidago sempervirens,
shabby,finn + taylor,5/31/2023,shab615,100,4,stinging nettle,urt dio,Urtica dioica,
shabby,finn + taylor,5/31/2023,shab615,100,4,kentucky bluegrass,poa pra,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab615,100,4,red raspberry,rub ida,Rubus idaeus,
shabby,finn + taylor,5/31/2023,shab615,100,4,fringed willowherb,epi cil,Epilobium ciliatum,
shabby,finn + taylor,5/31/2023,shab633,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab617,100,3,bittersweet nightshade,sol dul,Solanum dulcamara,
shabby,finn + taylor,5/31/2023,shab617,100,3,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab630,75,4,,,,wtf taylor
shabby,finn + taylor,5/31/2023,shab616,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab638,100,1,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab649,100,2,stinging nettle,urt dio,Urtica dioica,
shabby,finn + taylor,5/31/2023,shab649,100,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab649,100,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,sol sem,Solidago sempervirens,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,unk,Atriplex subspicata,
shabby,finn + taylor,5/31/2023,shab635,100,1,corn speedwell,ver arv,Veronica arvensis,
shabby,finn + taylor,5/31/2023,shab635,100,1,yarrow,ach mil,Achillea millefolium,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,Atriplex subspicata,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,young yarrow? #56,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,ver arv,Veronica arvensis,
shabby,finn + taylor,5/31/2023,shab614,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab611,100,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab611,100,2,bittersweet nightshade,sol dul,Solanum dulcamara,
shabby,finn + taylor,5/31/2023,shab644,50,1,shepherd's purse,cap bur,Capsella bursa-pastoris,
shabby,finn + taylor,5/31/2023,shab644,50,1,pineappleweed,mat dis,Matricaria discoidea,
shabby,finn + taylor,5/31/2023,shab644,50,1,yarrow,ach mil,Achillea millefolium,
shabby,finn + taylor,5/31/2023,shab644,50,1,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab612,100,2,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab629,5,1,stinging nettle,urt dio,Urtica dioica,
shabby,finn + taylor,5/31/2023,shab629,5,1,unknown,unk,Poa pratensis,
shabby,finn + taylor,5/31/2023,shab629,5,1,unknown,unk,Poa pratensis,
GDI,finn,7/12/2023,gdi168,100,3,red fescue,fes rub,Festuca rubra,
GDI,finn,7/12/2023,gdi168,100,3,yarrow,ach mil,Achillea millefolium,
GDI,finn,7/12/2023,gdi168,100,3,raspberry,rub ida,Rubus idaeus,
GDI,finn,7/12/2023,gdi168,100,3,seaside goldenrod,sol sem,Solidago sempervirens,
GDI,finn,7/12/2023,gdi168,100,3,flat-topped aster,doe umb,Doellingeria umbellata,
GDI,finn,7/12/2023,gdi168,100,3,swamp dewberry,rub his,Rubus hispidus,
GDI,finn,7/12/2023,gdi168,100,3,creeping bentgrass,agr sto,Agrostis stolonifera,
GDI,finn,7/12/2023,gdi168,100,3,kentucky bluegrass,poa pra,Poa pratensis,
GDI,finn,7/12/2023,gdi168,100,3,meadow hawkweed,hie cae,Hieracium caespitosum,
GDI,finn,7/12/2023,gdi942,100,3,field chickweed,cer arv,Cerastium arvense,
GDI,finn,7/12/2023,gdi942,100,3,raspberry,rub ida,Rubus idaeus,
