OID_,CID,name,POINT_X,POINT_Y
1,19,grspn1,-68.55830022,44.041709424000032
2,19,grspn2,-68.55668349,44.041161134000049
3,19,grspn3,-68.55723655,44.041508801000077
4,19,grspn4,-68.55692514,44.040999353000075
5,19,grspn5,-68.55558428,44.043703539000035
6,19,grspn6,-68.55806466,44.040999329000044
7,19,grspn7,-68.55767885,44.043018584000038
8,19,grspn8,-68.55656108,44.041789520000066
9,19,grspn9,-68.55742732,44.043116200000043
10,19,grspn10,-68.55748005,44.044347569000081
11,19,grspn11,-68.55894631,44.041759252000077
12,19,grspn12,-68.55717592,44.044990148000068
13,19,grspn13,-68.55779729,44.044626399000038
14,19,grspn14,-68.55637339,44.042541059000030
15,19,grspn15,-68.55808845,44.042855965000058
16,19,grspn16,-68.55800846,44.042168464000042
17,19,grspn17,-68.55794485,44.041702843000053
18,19,grspn18,-68.55909559,44.041387160000056
19,19,grspn19,-68.55729086,44.043857840000044
20,19,grspn20,-68.55762526,44.044259928000031
21,19,grspn21,-68.55714028,44.044254237000075
22,19,grspn22,-68.55550645,44.042119656000068
23,19,grspn23,-68.55864032,44.043539570000064
24,19,grspn24,-68.55613031,44.041089993000071
25,19,grspn25,-68.55574837,44.042240472000060
26,19,grspn26,-68.5579132,44.041196058000025
27,19,grspn27,-68.55705553,44.041896512000051
28,19,grspn28,-68.55731553,44.040602493000051
29,19,grspn29,-68.5583583,44.043215895000060
30,19,grspn30,-68.55552883,44.043110959000046
31,19,grspn31,-68.55768165,44.043840590000059
32,19,grspn32,-68.55785699,44.041344573000060
33,19,grspn33,-68.5575673,44.040828693000037
34,19,grspn34,-68.55508361,44.043713390000050
35,19,grspn35,-68.55870527,44.041028297000025
36,19,grspn36,-68.55523689,44.042584807000026
37,19,grspn37,-68.55687577,44.039942333000056
38,19,grspn38,-68.55901507,44.040751018000037
39,19,grspn39,-68.55636666,44.043096161000051
40,19,grspn40,-68.55530288,44.042267677000041
41,19,grspn41,-68.55855761,44.040442014000064
42,19,grspn42,-68.55663153,44.044848764000051
43,19,grspn43,-68.55547036,44.043603142000052
44,19,grspn44,-68.55741025,44.042953615000044
45,19,grspn45,-68.55687899,44.040273019000040
46,19,grspn46,-68.55652838,44.042023149000045
47,19,grspn47,-68.55715074,44.041603989000066
48,19,grspn48,-68.55836368,44.041963417000034
49,19,grspn49,-68.55624227,44.044612034000068
50,19,grspn50,-68.55520017,44.042479875000026
51,19,grspn51,-68.55657775,44.039797221000072
52,19,grspn52,-68.55829481,44.042328670000074
53,19,grspn53,-68.55894991,44.042375330000027
54,19,grspn54,-68.55791825,44.040642918000060
55,19,grspn55,-68.55464542,44.043022518000043
56,19,grspn56,-68.55793662,44.044076592000067
57,19,grspn57,-68.55873878,44.040428314000053
58,19,grspn58,-68.55812054,44.043494999000075
59,19,grspn59,-68.5572377,44.045267308000064
60,19,grspn60,-68.55666897,44.044743000000040
61,19,grspn61,-68.55759939,44.040435353000078
62,19,grspn62,-68.55727366,44.039815418000046
63,19,grspn63,-68.55785463,44.041557494000074
64,19,grspn64,-68.55447659,44.042143924000072
65,19,grspn65,-68.55604672,44.043808157000058
66,19,grspn66,-68.55715137,44.044877664000069
67,19,grspn67,-68.55635461,44.040251949000037
68,19,grspn68,-68.55712298,44.044470548000049
69,19,grspn69,-68.55789951,44.042870185000027
70,19,grspn70,-68.55712216,44.043739727000059
71,19,grspn71,-68.55909892,44.044819488000030
72,19,grspn72,-68.55603435,44.040831294000043
73,19,grspn73,-68.55890053,44.042294114000072
74,19,grspn74,-68.55715676,44.045069558000080
75,19,grspn75,-68.55490012,44.042721355000026
76,19,grspn76,-68.55851822,44.044843984000067
77,19,grspn77,-68.55736796,44.044615495000073
78,19,grspn78,-68.55623926,44.043409707000080
79,19,grspn79,-68.55616602,44.044829027000048
80,19,grspn80,-68.55784146,44.044969409000032
81,19,grspn81,-68.55768211,44.040880277000042
82,19,grspn82,-68.55594199,44.040136763000078
83,19,grspn83,-68.55614827,44.043181265000044
84,19,grspn84,-68.55746575,44.041209967000043
85,19,grspn85,-68.55632003,44.040985113000033
86,19,grspn86,-68.55616131,44.040437991000033
87,19,grspn87,-68.55821953,44.043780667000078
88,19,grspn88,-68.5564196,44.044225462000043
89,19,grspn89,-68.55872004,44.044834504000050
90,19,grspn90,-68.55685263,44.043861880000065
91,19,grspn91,-68.55712767,44.042196850000039
92,19,grspn92,-68.55829586,44.041835292000030
93,19,grspn93,-68.55609624,44.043681293000077
94,19,grspn94,-68.5579166,44.044826609000040
95,19,grspn95,-68.55902926,44.040641117000064
96,19,grspn96,-68.55737668,44.041904656000042
97,19,grspn97,-68.55476774,44.042580625000028
98,19,grspn98,-68.55767996,44.043466464000062
99,19,grspn99,-68.55818991,44.044049194000081
100,19,grspn100,-68.55589066,44.042266884000071
101,19,grspn101,-68.55567382,44.039641661000076
102,19,grspn102,-68.5577831,44.043046723000032
103,19,grspn103,-68.55864337,44.044062386000064
104,19,grspn104,-68.5559452,44.040332045000071
105,19,grspn105,-68.55804764,44.042968469000073
106,19,grspn106,-68.55843183,44.040698610000049
107,19,grspn107,-68.55535336,44.043778042000042
108,19,grspn108,-68.55847815,44.043786477000026
109,19,grspn109,-68.55463268,44.042820551000034
110,19,grspn110,-68.55667787,44.043415753000033
111,19,grspn111,-68.55539084,44.043400485000063
112,19,grspn112,-68.55657834,44.044210362000058
113,19,grspn113,-68.55576781,44.043815268000060
114,19,grspn114,-68.55709475,44.041825647000053
115,19,grspn115,-68.55616334,44.041556763000074
116,19,grspn116,-68.55613966,44.039548998000043
117,19,grspn117,-68.55619682,44.042098478000071
118,19,grspn118,-68.55698762,44.043811914000059
119,19,grspn119,-68.55760323,44.040352931000029
120,19,grspn120,-68.55614976,44.043059403000029
121,19,grspn121,-68.55749553,44.040466119000030
122,19,grspn122,-68.55887645,44.044951690000062
123,19,grspn123,-68.5556343,44.043406296000057
124,19,grspn124,-68.55667944,44.043620512000075
125,19,grspn125,-68.55438585,44.043435068000065
126,19,grspn126,-68.55851418,44.041391836000059
127,19,grspn127,-68.55462996,44.043524973000046
128,19,grspn128,-68.55890772,44.043217009000045
129,19,grspn129,-68.55913628,44.042053940000073
130,19,grspn130,-68.55901017,44.041989131000037
131,19,grspn131,-68.55784858,44.043762723000043
132,19,grspn132,-68.55497778,44.043342019000079
133,19,grspn133,-68.55531124,44.042363329000068
134,19,grspn134,-68.55771318,44.040159029000051
135,19,grspn135,-68.5589501,44.042668968000044
136,19,grspn136,-68.55919356,44.043693777000044
137,19,grspn137,-68.55844575,44.041694302000053
138,19,grspn138,-68.55665681,44.041523666000046
139,19,grspn139,-68.55572748,44.042839402000027
140,19,grspn140,-68.55888125,44.042983858000071
141,19,grspn141,-68.55579247,44.040100852000080
142,19,grspn142,-68.55780178,44.043508087000077
143,19,grspn143,-68.55665629,44.041854005000062
144,19,grspn144,-68.55625415,44.043141230000060
145,19,grspn145,-68.5584517,44.040588135000064
146,19,grspn146,-68.55884344,44.042015455000069
147,19,grspn147,-68.55790174,44.044579647000035
148,19,grspn148,-68.5561027,44.042414741000073
149,19,grspn149,-68.55785843,44.041992869000069
150,19,grspn150,-68.5583243,44.044348802000059
151,19,grspn151,-68.55684752,44.042161558000032
152,19,grspn152,-68.5562182,44.042256237000061
153,19,grspn153,-68.55824467,44.042196056000080
154,19,grspn154,-68.55670953,44.041054825000060
155,19,grspn155,-68.55933562,44.044821047000028
156,19,grspn156,-68.55832652,44.042583621000063
157,19,grspn157,-68.55645789,44.040074414000060
158,19,grspn158,-68.5574243,44.044204340000078
159,19,grspn159,-68.55485728,44.043677714000069
160,19,grspn160,-68.55758044,44.041370587000074
161,19,grspn161,-68.55670492,44.044086485000037
162,19,grspn162,-68.55637738,44.043574573000058
163,19,grspn163,-68.55923948,44.043485375000046
164,19,grspn164,-68.55778799,44.040283986000077
165,19,grspn165,-68.55892433,44.043916803000059
166,19,grspn166,-68.55843408,44.041534720000072
167,19,grspn167,-68.55710985,44.043174283000042
168,19,grspn168,-68.55715119,44.040532859000052
169,19,grspn169,-68.55808178,44.043880227000045
170,19,grspn170,-68.55804403,44.044502281000064
171,19,grspn171,-68.55795762,44.044171185000039
172,19,grspn172,-68.55831218,44.040722331000040
173,19,grspn173,-68.55629037,44.041197944000032
174,19,grspn174,-68.55446844,44.043255591000047
175,19,grspn175,-68.5584677,44.042708571000048
176,19,grspn176,-68.5573626,44.043489098000066
177,19,grspn177,-68.55803012,44.044854287000078
178,19,grspn178,-68.55511393,44.042914122000070
179,19,grspn179,-68.55885384,44.041873730000077
180,19,grspn180,-68.55664235,44.042440351000039
181,19,grspn181,-68.55795536,44.041443785000070
182,19,grspn182,-68.55775171,44.042597230000069
183,19,grspn183,-68.55754403,44.040205668000056
184,19,grspn184,-68.55647419,44.043818549000036
185,19,grspn185,-68.55834155,44.040860615000042
186,19,grspn186,-68.55882315,44.044279517000064
187,19,grspn187,-68.55898068,44.042547754000054
188,19,grspn188,-68.5592519,44.044311388000040
189,19,grspn189,-68.55712561,44.039976529000057
190,19,grspn190,-68.55734269,44.043058701000064
191,19,grspn191,-68.55608774,44.041227538000044
192,19,grspn192,-68.55651852,44.044135978000043
193,19,grspn193,-68.55566748,44.040174963000027
194,19,grspn194,-68.55916264,44.044040562000077
195,19,grspn195,-68.55420799,44.043170872000076
196,19,grspn196,-68.55811554,44.041642124000077
197,19,grspn197,-68.55552142,44.042615595000029
198,19,grspn198,-68.55907189,44.044221695000033
199,19,grspn199,-68.55750225,44.041894981000041
200,19,grspn200,-68.55786577,44.044488350000051
201,19,grspn201,-68.55473283,44.042950769000072
202,19,grspn202,-68.55700068,44.043579139000030
203,19,grspn203,-68.55448183,44.043689264000079
204,19,grspn204,-68.55792257,44.041051096000047
205,19,grspn205,-68.55715867,44.044787170000063
206,19,grspn206,-68.55436445,44.043005855000047
207,19,grspn207,-68.55749326,44.043788700000050
208,19,grspn208,-68.55766142,44.042257520000078
209,19,grspn209,-68.55739638,44.042374004000067
210,19,grspn210,-68.55626454,44.044511418000070
211,19,grspn211,-68.55811644,44.041328318000069
212,19,grspn212,-68.55823432,44.041597866000075
213,19,grspn213,-68.55659315,44.043441547000043
214,19,grspn214,-68.55809139,44.044742348000057
215,19,grspn215,-68.55686111,44.042313632000059
216,19,grspn216,-68.5579111,44.040174908000040
217,19,grspn217,-68.55672206,44.041583876000061
218,19,grspn218,-68.5591995,44.041469041000028
219,19,grspn219,-68.5580715,44.041199713000026
220,19,grspn220,-68.55446844,44.043780009000045
221,19,grspn221,-68.55824865,44.040383871000074
222,19,grspn222,-68.55748096,44.040825089000066
223,19,grspn223,-68.55684372,44.044307522000054
224,19,grspn224,-68.55749093,44.042517067000063
225,19,grspn225,-68.55873779,44.043705374000069
226,19,grspn226,-68.55804598,44.040470941000081
227,19,grspn227,-68.55767883,44.042505764000055
228,19,grspn228,-68.55656615,44.040266070000030
229,19,grspn229,-68.5558645,44.042984926000031
230,19,grspn230,-68.55473306,44.043343864000065
231,19,grspn231,-68.55645108,44.039876143000072
232,19,grspn232,-68.55732547,44.043948681000074
233,19,grspn233,-68.55850941,44.044351142000039
234,19,grspn234,-68.55805627,44.042603697000061
235,19,grspn235,-68.55814543,44.044636299000047
236,19,grspn236,-68.55852414,44.043342875000064
237,19,grspn237,-68.55753226,44.044155286000034
238,19,grspn238,-68.55668699,44.040483863000077
239,19,grspn239,-68.55638135,44.041559819000042
240,19,grspn240,-68.55832127,44.044119488000035
241,19,grspn241,-68.55883944,44.040601264000031
242,19,grspn242,-68.55604871,44.044076832000030
243,19,grspn243,-68.55649927,44.043225384000039
244,19,grspn244,-68.55733518,44.042430261000050
245,19,grspn245,-68.55765025,44.043643938000059
246,19,grspn246,-68.55914824,44.041576598000063
247,19,grspn247,-68.55704237,44.042347246000077
248,19,grspn248,-68.55784378,44.041846156000076
249,19,grspn249,-68.55869462,44.042518320000056
250,19,grspn250,-68.55945556,44.044808922000072
251,19,grspn251,-68.55818613,44.040260316000058
252,19,grspn252,-68.55757723,44.044026988000041
253,19,grspn253,-68.55603762,44.042091810000045
254,19,grspn254,-68.55707811,44.040286845000026
255,19,grspn255,-68.55875043,44.044509567000034
256,19,grspn256,-68.55468239,44.042886261000035
257,19,grspn257,-68.55738127,44.041431117000059
258,19,grspn258,-68.55730917,44.040345181000077
259,19,grspn259,-68.5575744,44.044323113000075
260,19,grspn260,-68.55901285,44.044874461000063
261,19,grspn261,-68.5583174,44.043303595000054
262,19,grspn262,-68.55748498,44.041734069000029
263,19,grspn263,-68.55772177,44.042360195000072
264,19,grspn264,-68.55484865,44.042849825000076
265,19,grspn265,-68.55702384,44.041429226000048
266,19,grspn266,-68.55907803,44.042495477000045
267,19,grspn267,-68.55485905,44.043378670000038
268,19,grspn268,-68.55757081,44.044999332000032
269,19,grspn269,-68.55560602,44.043328487000053
270,19,grspn270,-68.5565946,44.045108533000075
271,19,grspn271,-68.55446566,44.043077702000062
272,19,grspn272,-68.55811686,44.042374136000035
273,19,grspn273,-68.5563574,44.042338860000029
274,19,grspn274,-68.55820398,44.042763502000071
275,19,grspn275,-68.55750807,44.041530522000073
276,19,grspn276,-68.55860444,44.044968589000064
277,19,grspn277,-68.5585087,44.043444479000073
278,19,grspn278,-68.55916131,44.041685734000055
279,19,grspn279,-68.5571819,44.040052665000076
280,19,grspn280,-68.55669875,44.042659353000033
281,19,grspn281,-68.55836676,44.041254285000036
282,19,grspn282,-68.55663638,44.041016496000054
283,19,grspn283,-68.55722268,44.044218517000047
284,19,grspn284,-68.55913275,44.043324573000064
285,19,grspn285,-68.55797113,44.044675096000049
286,19,grspn286,-68.55869708,44.044667871000058
287,19,grspn287,-68.55878858,44.041943884000034
288,19,grspn288,-68.55776475,44.044221124000046
289,19,grspn289,-68.55625264,44.042420055000036
290,19,grspn290,-68.55903278,44.044100347000040
291,19,grspn291,-68.55869959,44.042216678000045
292,19,grspn292,-68.55615045,44.044533642000033
293,19,grspn293,-68.55800271,44.043450868000036
294,19,grspn294,-68.55757945,44.042415302000052
295,19,grspn295,-68.55810427,44.044073163000064
296,19,grspn296,-68.55821582,44.044523750000053
297,19,grspn297,-68.55688067,44.042012862000036
298,19,grspn298,-68.55636609,44.043898158000047
299,19,grspn299,-68.55804843,44.040721134000080
300,19,grspn300,-68.55671223,44.043864401000064
301,19,grspn301,-68.55444658,44.042031497000039
302,19,grspn302,-68.55868498,44.043609777000029
303,19,grspn303,-68.55534181,44.042613971000037
304,19,grspn304,-68.55831611,44.042684691000034
305,19,grspn305,-68.55517394,44.043803693000029
306,19,grspn306,-68.55876967,44.041289744000039
307,19,grspn307,-68.55874022,44.042649186000062
308,19,grspn308,-68.55786584,44.044380852000074
309,19,grspn309,-68.55881626,44.041549136000071
310,19,grspn310,-68.55779256,44.044777991000046
311,19,grspn311,-68.55731251,44.041599678000068
312,19,grspn312,-68.55558199,44.040080964000026
313,19,grspn313,-68.55747218,44.042409104000058
314,19,grspn314,-68.55824272,44.040514565000080
315,19,grspn315,-68.55654258,44.043368996000027
316,19,grspn316,-68.5574457,44.044728539000062
317,19,grspn317,-68.55760398,44.042157156000030
318,19,grspn318,-68.55737377,44.043847126000060
319,19,grspn319,-68.55795226,44.042000735000045
320,19,grspn320,-68.55782773,44.040804777000062
321,19,grspn321,-68.5579966,44.040937856000028
322,19,grspn322,-68.55700924,44.044006502000059
323,19,grspn323,-68.55710992,44.040205790000073
324,19,grspn324,-68.55922866,44.044398428000079
325,19,grspn325,-68.55855581,44.040657578000037
