location,collected by,date,gps,cover,height,common,spp_code,spp,notes,name,OID_,CID,POINT_X,POINT_Y,OID_1,height_class,height_class_range,percent_cover_range,type
heron,finn,5/27/2023,hrn3114,1,1,NA,NA,NA,trans 4 -> HERG nest ~3m out of range,hrn3114,3114,86,-68.47148884,44.09936843000003,NA,1,0-0.15,0-0.01,NA
heron,finn,5/27/2023,hrn2936,1,1,NA,NA,NA,"1) HERG nest w/ 3 eggs just out of range, 2) HERG w/ 2 1m off, 1 w/in radius (don't want to double count)",hrn2936,2936,86,-68.47157844,44.09919752600007,NA,1,0-0.15,0-0.01,NA
heron,finn,5/27/2023,hrn3058,100,2,valerian,val off,Valeriana officinalis,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,dandelion,tar off,Taraxacum officinale,(drawing on datasheet of leaf margin),hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,stinging nettle,urt dio,Urtica dioica,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,strawberry,fra vir,Fragaria virginiana,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Cerastium arvense,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,corn speedwell,ver arv,Veronica arvensis,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Solidago puberula,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,NA
heron,finn,5/27/2023,hrn3058,100,2,bittersweet nightshade,sol dul,Solanum dulcamara,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,vine
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Cirsium vulgare,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3058,100,2,hedge bindweed,cal sep,Calystegia sepium,NA,hrn3058,3058,86,-68.47104787,44.10110720100005,NA,2,0.15-0.30,0.76-1.00,vine
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Cirsium vulgare,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3077,100,2,hedge bindweed,cal sep,Calystegia sepium,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,vine
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Poa trivialis,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,NA
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Solidago puberula,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,NA
heron,finn,5/27/2023,hrn3077,100,2,stinging nettle,urt dio,Urtica dioica,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3077,100,2,white clover,tri rep,Trifolium repens,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3077,100,2,dandelion,tar off,Taraxacum officinale,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Cerastium arvense,NA,hrn3077,3077,86,-68.47075498,44.10052655700008,NA,2,0.15-0.30,0.76-1.00,herb
heron,finn,5/27/2023,hrn2914,100,3,buttercup,ran acr,Ranunculus acris,NA,hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,herb
heron,finn,5/27/2023,hrn2914,100,3,dandelion,tar off,Taraxacum officinale,(drawing on datasheet of leaf margin),hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,herb
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Solidago puberula,NA,hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,NA
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Poa pratensis,NA,hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,gram
heron,finn,5/27/2023,hrn2914,100,3,marsh vetch,lat pal,Lathyrus palustris,(lat pal marsh vetch),hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,vine
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Rubus idaeus,NA,hrn2914,2914,86,-68.47313019,44.10264128200003,NA,3,0.30-1,0.76-1.00,shrub
