"spp" "type" "arm"
"1" NA "NA" 0
"2" "Valeriana officionalis" "herb" 0
"3" "Taraxacum officionale" "herb" 0
"4" "Urtica dioica" "herb" 1
"5" "Fragaria virginiana" "herb" 0
"6" "Cerastium arvense" "herb" 0
"7" "Veronica arvensis" "herb" 0
"8" "Solidago puberula" "herb" 0
"9" "Solanum dulcamara" "herb" 0
"10" "Cirsium vulgare" "herb" 1
"11" "Calystegia sepium" "vine" 0
"12" "Poa trivialis" "gram" 0
"13" "Trifolium repens" "herb" 0
"14" "Ranunculus acris" "herb" 0
"15" "Poa pratensis" "gram" 0
"16" "Lathyrus palustris" "vine" 0
"17" "Rubus idaeus" "shrub" 1
"18" "Alepecurus pratensis" "gram" 0
"19" "Solidago sempervirens" "herb" 0
"20" "Galium sylvaticum" "herb" 0
"21" "Plantago major" "herb" 0
"22" "Poa spp (tufting)" "gram" 0
"23" "Lathyrus japonicus" "vine" 0
"24" "Iris versicolor" "herb" 0
"25" "Scutellaria galericulata" "herb" 0
"26" "Potentilla anserina" "herb" 1
"27" "Elymus repens" "gram" 0
"28" "Achillea millefolium" "herb" 0
"29" "Maianthemum canadense" "herb" 0
"30" "Carex silicea" "gram" 0
"31" "Rumex pallidus" "herb" 0
"32" "Arctium sp." "herb" 0
"33" "Cirsium sp." "herb" 1
"34" "young yarrow? #56" "herb" 0
"35" "Mentha canadensis" "herb" 0
"36" "Epilobium ciliatum" "herb" 0
"37" "Atriplex subspicata" "herb" 0
"38" "Capsella bursa-pastoris" "herb" 0
"39" "Matricaria discoidea" "herb" 0
"40" "Festuca rubra" "gram" 0
"41" "Doellingeria umbellata" "herb" 0
"42" "Rubus hispidus" "shrub" 1
"43" "Agrostis stolonifera" "gram" 0
"44" "Hieracium caespitosum" "herb" 0
"45" "Rumex acetosella" "herb" 0
"46" "Rumex britannica" "herb" 0
"47" "Solidago rugosa" "herb" 0
"48" "Cuscuta gronovii" "vine" 0
"49" "Impatiens capensis" "herb" 0
"50" "Angelica lucida" "herb" 0
"51" "Cornus canadensis" "herb" 0
"52" "Moehringia lateriflora" "herb" 0
"53" "Carex nigra" "gram" 0
"54" "Vaccinium angustifolium" "shrub" 0
"55" "Luzula multiflora" "gram" 0
"56" "Anthoxanthum odoratum" "gram" 0
"57" "Stellaria media" "herb" 0
"58" "Myrica gale" "shrub" 0
"59" "Rumex crispus" "herb" 0
"60" "Plantago maritima" "herb" 0
"61" "Cirsium arvense" "herb" 1
"62" "Galeopsis bifida" "herb" 0
"63" "Elymus trachycaulus" "gram" 0
"64" "Ribes glandulosum" "shrub" 0
"65" "Osmundastrum cinnamomeum" "herb" 0
"66" "Rumex sp." "herb" 0
"67" "Raphanus raphanistrum" "herb" 0
"68" "Spiraea alba" "shrub" 0
"69" "Symphyotrichum novae-angliae" "herb" 0
"70" "Lycopus uniflorus" "herb" 0
"71" "Agrostis scabra" "gram" 0
"72" "Cerastium fontanum" "herb" 0
"73" "Potentilla simplex" "herb" 0
"74" "Potentilla norvegica" "herb" 0
"75" "Rumex longifolius" "herb" 0
